"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","UTurb:0","UTurb:1","UTurb:2","active","age","d","dTarget","mass0","nParticle"
-0.1846,-0.042842,-0.043656,300.47,15.428,3.6648,-2.7902,0,0,0,1,0.00080247,1e-05,0,5.236e-13,60181
-0.18471,-0.026018,-0.04534,300.4,15.577,5.1488,-2.1974,0,0,0,1,0.0008005,1e-05,0,5.236e-13,60181
-0.18465,-0.057293,-0.013841,300.48,15.489,1.715,-4.4203,0,0,0,1,0.0007988,1e-05,0,5.236e-13,60181
-0.18414,-0.03969,-0.013206,300.35,15.939,2.6818,-6.0116,0,0,0,1,0.00079441,1e-05,0,5.236e-13,48145
-0.18481,-0.041832,-0.024954,300.42,15.698,3.5172,-4.6944,0,0,0,1,0.00079315,1e-05,0,5.236e-13,60181
-0.18218,-0.0039454,-0.014011,300.21,19.419,4.6779,-1.351,0,0,0,1,0.00079039,1e-05,0,5.236e-13,60181
-0.18448,-0.058796,-0.044062,300.64,15.196,2.3322,-2.8419,0,0,0,1,0.00078987,1e-05,0,5.236e-13,60181
-0.18497,-0.00015169,-0.054296,300.5,15.566,5.2521,0.70984,0,0,0,1,0.00078895,1e-05,0,5.236e-13,60181
-0.18501,-0.072856,-0.0047958,300.64,15.196,0.41882,-3.7304,0,0,0,1,0.00078829,1e-05,0,5.236e-13,60181
-0.18511,-0.043556,-0.022655,300.48,15.681,3.2201,-4.8291,0,0,0,1,0.00078575,1e-05,0,5.236e-13,48145
-0.18513,-0.028286,-0.065536,300.66,15.226,3.5816,-1.277,0,0,0,1,0.00078475,1e-05,0,5.236e-13,60181
-0.18512,-0.0015812,-0.062113,300.6,15.427,4.4579,0.4502,0,0,0,1,0.00078409,1e-05,0,5.236e-13,60181
-0.18495,-0.0042297,-0.070336,300.66,15.252,3.8561,0.065158,0,0,0,1,0.0007837,1e-05,0,5.236e-13,60181
-0.18483,-0.06213,-0.011945,300.62,15.374,1.3324,-4.1526,0,0,0,1,0.00078265,1e-05,0,5.236e-13,60181
-0.18498,-0.0052822,-0.03583,300.41,16.272,6.9234,-0.48018,0,0,0,1,0.00077937,1e-05,0,5.236e-13,60181
-0.18503,-0.050931,-0.016251,300.57,15.587,2.2399,-4.786,0,0,0,1,0.00077779,1e-05,0,5.236e-13,60181
-0.18542,-0.069482,-0.026441,300.72,15.278,1.3937,-3.3512,0,0,0,1,0.00077726,1e-05,0,5.236e-13,60181
-0.18455,-0.03523,-0.062114,300.72,15.19,3.4209,-1.6477,0,0,0,1,0.00077635,1e-05,0,5.236e-13,60181
-0.18494,-0.045723,-0.037322,300.65,15.456,3.4591,-3.2782,0,0,0,1,0.00077359,1e-05,0,5.236e-13,60181
-0.18476,-0.020587,-0.041882,300.56,15.688,5.8047,-2.1575,0,0,0,1,0.00077004,1e-05,0,5.236e-13,60181
-0.18487,-0.043065,-0.041466,300.7,15.429,3.6618,-2.9464,0,0,0,1,0.00076729,1e-05,0,5.236e-13,60181
-0.18519,-0.07122,-0.018027,300.82,15.189,1.0472,-3.5527,0,0,0,1,0.00076308,1e-05,0,5.236e-13,60181
-0.18526,-0.029361,-0.044256,300.67,15.529,4.8706,-2.4674,0,0,0,1,0.00076256,1e-05,0,5.236e-13,60181
-0.18562,-0.023234,-0.071314,300.87,15.172,3.3009,-0.96502,0,0,0,1,0.00076046,1e-05,0,5.236e-13,60181
-0.18499,-0.053399,-0.023248,300.74,15.474,2.4692,-4.0948,0,0,0,1,0.00075849,1e-05,0,5.236e-13,60181
-0.18474,-0.018021,-0.053432,300.75,15.461,5.0018,-0.96817,0,0,0,1,0.00075429,1e-05,0,5.236e-13,60181
-0.18549,-0.0043632,-0.065315,300.84,15.335,4.187,0.18831,0,0,0,1,0.00075258,1e-05,0,5.236e-13,60181
-0.18559,-0.02847,-0.058825,300.86,15.31,3.9871,-1.4165,0,0,0,1,0.00075048,1e-05,0,5.236e-13,60181
-0.18526,-0.0016369,-0.045924,300.7,15.694,6.2139,0.52973,0,0,0,1,0.00074838,1e-05,0,5.236e-13,60181
-0.18556,-0.045488,-0.015776,300.74,15.656,2.5387,-5.2988,0,0,0,1,0.00074694,1e-05,0,5.236e-13,60181
